ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,WALS_Code
ikkk1242,Ik (BJ),,,,ikkk1242,ikx,ik
imon1245,Imonda (BJ),,,,imon1245,imn,imo
ingu1240,Ingush (BJ),,,,ingu1240,inh,ing
iraq1241,Iraqw (BJ),,,,iraq1241,irk,irq
itza1241,Itzaj (BJ),,,,itza1241,itz,itz
yabe1254,Jabêm (BJ),,,,yabe1254,jae,jab
djam1255-2,Jaminjung (BJ),,,,djam1255,djd,jam
jelibj,Jeli (BJ),,,,,,jel
kach1280,Jingpho (BJ),,,,kach1280,kac,jng
juho1239,Ju|'hoan (BJ),,,,juho1239,ktz,juh
kair1263,Kairiru (BJ),,,,kair1263,kxa,krr
kala1377,Kala Lagaw Ya (BJ),,,,kala1377,mwp,kly
kalk1246,Kalkatungu (BJ),,,,kalk1246,ktg,kgu
kama1373,Kamaiurá (BJ),,,,kama1373,kay,kma
kamb1299-2,Kambera (BJ),,,,kamb1299,xbr,kam
kanabj,Kana (BJ),,,,,,kan
nucl1305,Kannada (BJ),,,,nucl1305,kan,knd
karo1304,Karok (BJ),,,,karo1304,kyh,krk
kate1253,Kâte (BJ),,,,kate1253,kmg,kat
east2342,Kayah Li (Eastern) (BJ),,,,east2342,eky,kyl
qima1242,Kemant (BJ),,,,qima1242,ahg,kem
kera1255,Kera (BJ),,,,kera1255,ker,ker
kett1243-2,Ket (BJ),,,,kett1243,ket,ket
halh1238,Khalkha (BJ),,,,halh1238,khk,kha
khas1269,Khasi (BJ),,,,khas1269,kha,khs
cent1989,Khmer (BJ),,,,cent1989,khm,khm
khmu1256,Khmu' (BJ),,,,khmu1256,kjg,kmu
kili1267,Kilivila (BJ),,,,kili1267,kij,klv
gilb1244,Kiribati (BJ),,,,gilb1244,gil,krb
klam1254,Klamath (BJ),,,,klam1254,kla,klm
kobo1249,Kobon (BJ),,,,kobo1249,kpw,kob
koda1255,Kodava (BJ),,,,koda1255,kfa,kod
kombaibj,Kombai (BJ),,,,,,kmb
kond1295,Konda (BJ),,,,kond1295,kfc,kda
koon1244,Kongo (BJ),,,,koon1244,kng,kon
kork1243,Korku (BJ),,,,kork1243,kfq,kku
