Language_ID,Language_name,Glottocode
2575,Mian,mian1256
2576,Tima,tima1241
2577,Teiwa,teiw1235
2578,Chintang,chhi1245
2579,Donno So,donn1238
2582,Ancient Greek,anci1242
2587,Abun,abun1252
2590,Akawaio,akaw1239
2592,Ala'ala,lala1268
2593,Alyawarra,alya1239
2594,Ambae (Lolovoli Northeast),east2443
2595,Anong,nung1282
2596,Apurinã,apur1254
2597,Egyptian Arabic,egyp1253
2598,Araona,arao1248
2599,Arawak,araw1276
2600,Eastern Armenian,nucl1235
2601,Arop-Lokep,arop1243
2602,Eastern Arrernte,east2379
2603,Babungo,veng1238
2604,Badimaya,badi1246
2605,Bagirmi,bagi1246
2606,Bai,cent2004
2608,Baka (in Cameroon),baka1272
2609,Banoni,bann1247
2610,Barasano,bara1380
2611,Baré,bare1276
2612,Bauzi,bauz1241
2613,Bawm,bawm1236
2614,Belhare,belh1239
2615,Berber (Middle Atlas),cent2194
2616,Berta,bert1248
2617,Bhojpuri,bhoj1244
2618,Bininj Gun-Wok,gunw1252
2619,Biri,biri1256
2620,Bisu,bisu1244
2621,Blackfoot,siks1238
2622,Bozo (Tigemaxo),tiey1235
2624,Brokskat,brok1247
2626,Teanu,tean1237
2629,Burushaski,buru1296
2630,Busa,busa1253
2631,Byansi,byan1241
2632,Canela-Krahô,ramk1239
2633,Chantyal,chan1310
2634,Cherokee,cher1273
2635,Chinantec (Lealao),leal1235
2636,Chocho,choc1279
2637,Choctaw,choc1276
2638,Chukchi,chuk1273
2639,Comanche,coma1245
2640,Coos (Hanis),coos1249
2641,Coptic,copt1239
2642,Cree (Plains),plai1258
2643,Dagbani,dagb1246
2644,Dahalo,daha1245
2646,Dhaasanac,daas1238
2647,Dharumbal,baya1257
2648,Dhivehi,dhiv1236
2649,Djabugay,dyaa1242
2650,Djaru,jaru1254
2651,Dogon,bang1363
2652,Doyayo,doya1240
2653,Drehu,dehu1237
2654,Duala,dual1243
2655,Dullay (Gollango),gaww1239
2656,Efik,efik1245
2657,Epena Pedee,epen1239
2658,Erromangan,siee1239
2659,Ewondo,ewon1239
2660,Fijian,fiji1243
2661,French,stan1290
2662,Fyem,fyam1238
2663,Gamo,gamo1244
2664,Gapapaiwa,gapa1238
2665,Gola,gola1255
2666,Gooniyandi,goon1238
2667,Grebo,sout2826
2668,Guaraní,para1311
2669,Guduf,gudu1252
2670,Gumbaynggir,kumb1268
2671,Gurr-goni,gura1252
2672,Guugu Yimidhirr,gugu1255
2673,Haida,haid1248
2674,Hatam,hata1243
2675,Hausa,haus1257
2676,Hayu,wayu1241
2677,Hdi,hdii1240
2678,Hebrew (Modern),hebr1245
2679,Hindi,hind1269
2680,Hmar,hmar1241
2681,Hmong Njua,hmon1264
2682,Hoava,hoav1238
2683,Hunzib,hunz1247
2684,Igbo,nucl1417
2685,Ik,ikkk1242
2686,Imonda,imon1245
2687,Ingush,ingu1240
2688,Iraqw,iraq1241
2689,Itzaj,itza1241
2690,Jabêm,yabe1254
2691,Jaminjung,djam1255
2692,Jeli,jeri1242
2693,Jingpho,kach1280
2694,Ju|'hoan,juho1239
2695,Kairiru,kair1263
2696,Kala Lagaw Ya,kala1377
2697,Kalkatungu,kalk1246
2698,Kamaiurá,kama1373
2699,Kambera,kamb1299
2700,Kana,khan1278
2701,Kannada,nucl1305
2702,Karok,karo1304
2703,Kâte,kate1253
2704,Kayah Li (Eastern),east2342
2705,Kemant,qima1242
2706,Kera,kera1255
2708,Khalkha,halh1238
2709,Khasi,khas1269
2710,Khmer,cent1989
2711,Khmu',khmu1256
2712,Kilivila,kili1267
2713,Kiribati,gilb1244
2714,Klamath,klam1254
2715,Kobon,kobo1249
2716,Kodava,koda1255
2717,Kombai,ndei1235
2718,Konda,kond1295
2719,Kongo,koon1244
2720,Korku,kork1243
2721,Koromfe,koro1298
2722,Korowai,koro1312
2723,Krongo,kron1241
2724,Kugu Nganhcara,kuku1280
2725,Kukú,bari1284
2726,Kuku-Yalanji,kuku1273
2727,Kunama,kuna1268
2728,Kutenai,kute1249
2729,Kwaio,kwai1243
2730,Ladakhi,lada1244
