Article_title,Authors,BibTeX_type,Book_title,Chapter,City,Editors,Full_reference,Issue_number,Journal,LaTeX_cite_key,Pages,Publisher,Reference_ID,School,URL,Volume,Year,Year_disambiguation_letter
,"Mous, Maarten",,A Grammar of Iraqw,,Hamburg,,"Mous, Maarten. 1993. A Grammar of Iraqw. Kuschitische Sprachstudien, 9. Hamburg: Buske.",,,,,Buske,687,,,,1993,
The position of the object in Tunen,"Mous, Maarten",,Object position in Benue-Kwa,,The Hague,"Déchaine, Rose-Marie & Victor Manfredi","Mous, Maarten. 1997. The position of the object in Tunen. in: Déchaine, Rose-Marie & Victor Manfredi (eds.). Object position in Benue-Kwa. The Hague: Holland Academic Graphics. pp. 123-137.",,,,123-137,Holland Academic Graphics,688,,,,1997,
,"Mugane, John M.",,A Paradigmatic Grammar of Gikuyu,,Stanford,,"Mugane, John M. 1997. A Paradigmatic Grammar of Gikuyu. Stanford: CSLI.",,,,,CSLI,689,,,,1997,
,"Mulder, Jean Gail",,Ergativity in Coast Tsimshian (Sm'algyax),,Berkeley,,"Mulder, Jean Gail. 1994. Ergativity in Coast Tsimshian (Sm'algyax). Berkeley: University of California Press.",,,,,University of California Press,690,,,,1994,
,"Müller-Gotama, Franz",,Sundanese,,Munich,,"Müller-Gotama, Franz. 2001. Sundanese. Munich: Lincom Europa.",,,,,Lincom Europa,691,,,,2001,
,"Nagaraja, K. S.",,"Korku Language: Grammar, texts and vocabulary",,Tokyo,,"Nagaraja, K. S. 1999. Korku Language: Grammar, texts and vocabulary. Tokyo: Tokyo University of Foreign Studies.",,,,,Tokyo University of Foreign Studies,692,,,,1999,
,"Nettle, Daniel",,The Fyem Language of Northern Nigeria,,Munich,,"Nettle, Daniel. 1998. The Fyem Language of Northern Nigeria. Languages of the World/Materials 136. Munich: Lincom Europa.",,,,,Lincom Europa,693,,,,1998,
The Yawelmani dialect of Yokuts,"Newman, Stanley",,Linguistic Structures of Native America,,New York,"Hoijer, Harry","Newman, Stanley. 1946. The Yawelmani dialect of Yokuts. in: Hoijer, Harry (ed.). Linguistic Structures of Native America. New York: Viking Fund. pp. 222-248.",,,,222-248,Viking Fund,694,,,,1946,
,"Nguyen, Dinh-Hoa",,Vietnamese,,Amsterdam,,"Nguyen, Dinh-Hoa. 1997. Vietnamese. London Oriental and African Language Library, 9. Amsterdam: John Benjamins.",,,,,John Benjamins,695,,,,1997,
Direct and Oblique Objects in Chechen-Ingush and Russian,"Nichols, Johanna",,Objects,,London,"Plank,  Frans","Nichols, Johanna. 1984. Direct and Oblique Objects in Chechen-Ingush and Russian. in: Plank,  Frans (ed.). Objects. London: Academic Press. pp. 183-209.",,,,183-209,Academic Press,696,,,,1984,
,"Nordlinger, Rachel",,"A Grammar of Wambaya, Northern Territory (Australia)",,Canberra,,"Nordlinger, Rachel. 1998. A Grammar of Wambaya, Northern Territory (Australia). Pacific Linguistics, Series C-140. Canberra: Australian National University.",,,,,Australian National University,697,,,,1998,
,"Norris, Evan J.",phdthesis,A Grammar Sketch and Comparative Study of Eastern Mono,,San Diego,,"Norris, Evan J. 1986. A Grammar Sketch and Comparative Study of Eastern Mono. San Diego. University of California. [Ph.D. Dissertation.]",,,,,University of California,698,,,,1986,
,"Okell, John",,A Reference Grammar of Colloquial Burmese,,London,,"Okell, John. 1969. A Reference Grammar of Colloquial Burmese. London: Oxford University Press.",,,,,Oxford University Press,699,,,,1969,
,"Olawsky, Knut J.",,Aspects of Dagbani grammar: with special emphasis on phonology and morphology,,Munich,,"Olawsky, Knut J. 1999. Aspects of Dagbani grammar: with special emphasis on phonology and morphology. Munich: Lincom Europa.",,,,,Lincom Europa,700,,,,1999,
Transitivity and valency-changing derivations in Motuna,"Onishi, Masayuki",,Changing Valency,,Cambridge,"Dixon, R. M. W. & Alexandra Y. Aikhenvald","Onishi, Masayuki. 2000. Transitivity and valency-changing derivations in Motuna. in: Dixon, R.M.W. & Alexandra Y. Aikhenvald (eds.). Changing Valency. Cambridge: Cambridge University Press. pp. 115-144.",,,,115-144,Cambridge University Press,701,,,,2000,
,"Osada, Toshiki",,A Reference Grammar of Mundari,,Tokyo,,"Osada, Toshiki. 1992. A Reference Grammar of Mundari. Tokyo: Tokyo University of Foreign Studies.",,,,,Tokyo University of Foreign Studie,702,,,,1992,
,"Osborne, Charles Roland",,The Tiwi Language,,Canberra,,"Osborne, Charles Roland. 1974. The Tiwi Language. Australian Aboriginal Studies, 55. Linguistics Series, 21. Canberra: Australian Institute of Aboriginal Studies.",,,,,Australian Institute of Aboriginal Studies,703,,,,1974,
,"Osumi, Midori",,Tinrin Grammar,,Honolulu,,"Osumi, Midori. 1995. Tinrin Grammar. Honolulu: University of Hawaii Press.",,,,,University of Hawaii Press,704,,,,1995,
,"Owens, Jonathan",,A Grammar of Harar Oromo (Northeastern Ethiopia),,Hamburg,,"Owens, Jonathan. 1985. A Grammar of Harar Oromo (Northeastern Ethiopia). Hamburg: Buske.",,,,,Buske,705,,,,1985,
,"Paita, Yvonne & Tadahiko Shintani",,Grammaire de la langue de Paita,,Noumea,,"Paita, Yvonne & Tadahiko Shintani. 1990. Grammaire de la langue de Paita. Noumea: Société d'Études Historiques de la Nouvelle-Calédonie.",,,,,Société d'Études Historiques de la Nouvelle-Calédonie,706,,,,1990,
,"Pandharipande, Rajeshwari V.",,Marathi,,London,,"Pandharipande, Rajeshwari V. 1997. Marathi. Descriptive Grammar Series. London: Routledge.",,,,,Routledge,707,,,,1997,
,"Panfilov, V. Z.",,Grammatika nivxskogo jazyka,,Moskva/Leningrad,,"Panfilov, V.Z. 1962. Grammatika nivxskogo jazyka. Chast' 1. Moskva/Leningrad: Izdatel'stvo Akademiia Nauk SSSR.",,,,,Akademiia Nauk SSSR,708,,,,1962,
Djabugay,"Patz, Elizabeth",,"The Handbook of Australian Languages, 4",,Melbourne,"Dixon, R. M. W. & Barry J. Blake","Patz, Elizabeth. 1991. Djabugay. in: Dixon, R. M. W. & Barry J. Blake (eds.). The Handbook of Australian Languages, 4. Melbourne: Oxford University Press Australia. pp. 244-347.",,,,244-347,Oxford University Press Australia,709,,,,1991,
,"Patz, Elizabeth",,A Grammar of the Kuku Yalanji language of north Queensland,,Canberra,,"Patz, Elizabeth. 2002. A Grammar of the Kuku Yalanji language of north Queensland. Pacific Linguistics, 527. Canberra: Australian National University.",,,,,Australian National University,710,,,,2002,
Yagua,"Payne, Doris L. & Thomas E. Payne",incollection,"Handbook of Amazonian Languages, 2",,Berlin,"Derbyshire, Desmond C. & Geoffrey K. Pullum","Payne, Doris L. & Thomas E. Payne. 1990. Yagua. in: Derbyshire, Desmond C. & Geoffrey K. Pullum (eds.). Handbook of Amazonian Languages, 2. Berlin: Mouton de Gruyter. pp. 249-474.",,,ch01paynepayne1990,249-474,Mouton de Gruyter,711,,,,1990,
,"Penchoen, Thomas G.",,Tamazight of the Ayt Ndhir,,Los Angeles,,"Penchoen, Thomas G. 1973. Tamazight of the Ayt Ndhir. Afroasiatic Dialects, 1. Los Angeles: Undena.",,,,,Undena,712,,,,1973,
,"Pet, Willem A. P.",phdthesis,"Lokono Dian, the Arawak Language of Suriname. A Sketch of Its Grammatical Structure and Lexicon",,,,"Pet, Willem A. P. 1987. Lokono Dian, the Arawak Language of Suriname. A Sketch of Its Grammatical Structure and Lexicon. Cornell University. [Ph.D. Dissertation.]",,,,,Cornell University,713,,,,1987,
,"Pilhofer, Georg",,Grammatik der Kate-Sprache in Neuguinea,,Berlin,,"Pilhofer, Georg. 1933. Grammatik der Kate-Sprache in Neuguinea. Berlin: Dietrich Reimer.",,,,,Dietrich Reimer,714,,,,1933,
,"Pitman, Donald",,Bosquejo de la gramática araona,,"Riberalta, Bolivia",,"Pitman, Donald. 1980. Bosquejo de la gramática araona. Notas Lingüísticas, 9. Riberalta, Bolivia: Instituto Lingüístico de verano.",,,,,Instituto Lingüístico de Verano,715,,,,1980,
Lepcha,"Plaisier, Heleen",,The Sino-Tibetan Languages,,London,"Thurgood, Graham & Randy J. LaPolla","Plaisier, Heleen. 2003. Lepcha. in: Thurgood, Graham & Randy J. LaPolla (eds.) The Sino-Tibetan Languages. London: Routledge. pp. 705-716.",,,,705-716,Routledge,716,,,,2003,
,"Plungian, Vladimir",,Dogon,,Munich,,"Plungian, Vladimir. 1995. Dogon. Languages of the World/Materials 64. Munich: Lincom Europa.",,,,,Lincom Europa,717,,,,1995,
Canela-Krahô,"Popjes, Jack & Josephine Popjes",,"Handbook of Amazonian Languages, 1",,Berlin,"Derbyshire, Desmond C. & Geoffrey K. Pullum","Popjes, Jack & Jo Popjes. 1986. Canela-Krahô. in: Derbyshire, Desmond C. & Geoffrey K. Pullum (eds.). Handbook of Amazonian Languages, 1. Berlin: Mouton de Gruyter. pp. 128-199.",,,,128-199,Mouton de Gruyter,718,,,,1986,
,"Quesada, J. Diego",,A Grammar of Teribe,,Munich,,"Quesada, J. Diego. 2000. A Grammar of Teribe. Munich: Lincom Europa.",,,,,Lincom Europa,719,,,,2000,
,"Rabel, Lili",,"Khasi, a Language of Assam",,Baton Rouge,,"Rabel, Lili. 1961. Khasi, a Language of Assam. Baton Rouge: Louisiana State University Press.",,,,,Louisiana State University Press,720,,,,1961,
,"Redden, James E.",,A Descriptive Grammar of Ewando,,"Carbondale, Illinois",,"Redden, James E. 1979. A Descriptive Grammar of Ewando. Carbondale, Illinois. SIU Department of Linguistics.",,,,,SIU Department of Linguistics,721,,,,1979,
,"Reesink, Ger P.",,Structures and their Functions in Usan: a Papuan Language of Papua New Guinea,,Amsterdam,,"Reesink, Ger P. 1987. Structures and their Functions in Usan: a Papuan Language of Papua New Guinea. Amsterdam: John Benjamins.",,,,,John Benjamins,722,,,,1987,
,"Reesink, Ger P.",,"A Grammar of Hatam: Bird's Head Peninsula, Irian Jaya",,Canberra,,"Reesink, Ger P. 1999. A Grammar of Hatam: Bird's Head Peninsula, Irian Jaya. Pacific Linguistics, Series C-146. Canberra: Pacific Linguistics, Research School of Pacific Studies, Australian National University.",,,,,Australian National University,723,,,,1999,
,"Reichle, Verena",,Bawm Language and Lore. Tibeto-Burman Area,,Bern,,"Reichle, Verena. 1981. Bawm Language and Lore. Tibeto-Burman Area. Europäische Hochschulschriften, Reihe 21, Linguistik 14. Bern: Peter Lang.",,,,,Peter Lang,725,,,,1981,
,"Rennison, John R.",book,Koromfe,,London,,"Rennison, John R. 1997. Koromfe. Descriptive Grammar Series. London: Routledge.",,,ch001rennison1997,,Routledge,726,,,,1997,
Nepali,"Riccardi, Theodore",,The Indo-Aryan Languages,,London,"Cardona, George & Dhanesh Jain","Riccardi, Theodore. 2003. Nepali. in: Cardona, George & Dhanesh Jain (eds.). The Indo-Aryan Languages. London: Routledge. pp. 538-580.",,,,538-580,Routledge,727,,,,2003,
,"Rice, Keren",book,A Grammar of Slave,,Berlin,,"Rice, Keren. 1989. A Grammar of Slave. Mouton Grammar Library, 5. Berlin: Mouton de Gruyter.",,,ch20rice1989,,Mouton de Gruyter,728,,,,1989,
,"Romero-Figueroa, Andrés",,A reference grammar of Warao,,Munich,,"Romero-Figueroa, Andrés. 1997. A reference grammar of Warao. Lincom Studies in Native American Linguistics, 6. Munich: Lincom Europa.",,,,,Lincom Europa,729,,,,1997,
Kairiru,"Ross, Malcolm",,The Oceanic Languages,,Richmond,"Lynch, John & Malcolm Ross & Terry Crowley","Ross, Malcolm. 2002a. Kairiru. in: Lynch, John & Malcolm Ross & Terry Crowley (eds.). The Oceanic Languages. Richmond: Curzon. pp. 204-215.",,,,204-215,Curzon,730,,,,2002,a
Mussau,"Ross, Malcolm",,The Oceanic Languages,,Richmond,"Lynch, John & Malcolm Ross & Terry Crowley","Ross, Malcolm. 2002b. Mussau. in: Lynch, John & Malcolm Ross & Terry Crowley (eds.). The Oceanic Languages. Richmond: Curzon. pp. 148-166.",,,,148-166,Curzon,731,,,,2002,b
'Ala'ala,"Ross, Malcolm",,The Oceanic Languages,,Richmond,"Lynch, John & Malcolm Ross & Terry Crowley","Ross, Malcolm. 2002d. 'Ala'ala. in: Lynch, John & Malcolm Ross & Terry Crowley (eds.). The Oceanic Languages. Richmond: Curzon. pp. 347-361.",,,,,Curzon,732,,,,2002,d
Jabêm,"Ross, Malcolm",,The Oceanic Languages,,Richmond,"Lynch, John & Malcolm Ross & Terry Crowley","Ross, Malcolm. 2002e. Jabêm. in: Lynch, John & Malcolm Ross & Terry Crowley (eds.). The Oceanic Languages. Richmond: Curzon. pp. 270-296.",,,,270-296,Curzon,733,,,,2002,e
Semantic and Pragmatic Objects in Klamath,"Rude, Noel",,In honor of Mary Haas,,Berlin,"Shipley, William","Rude, Noel. 1988c. Semantic and Pragmatic Objects in Klamath. in: Shipley, William (ed.). In honor of Mary Haas. Berlin: Mouton de Gruyter. pp. 651-73.",,,,651-73,Mouton de Gruyter,734,,,,1988,c
,"Rupp, James E.",,Lealao Chinantec Syntax,,Dallas/Arlington,,"Rupp, James E. 1989. Lealao Chinantec Syntax. Studies in Chinantec Languages, 2. Dallas/Arlington: Summer Institute of Linguistics and the University of Texas.",,,,,Summer Institute of Linguistics and the University of Texas,735,,,,1989,
Double objects in Àkán and Ìgbo,"Sáàh, Kòfí K. & Éjiké Ézè",,Object positions in Benue-Kwa,,The Hague,"Déchaine, Rose-Marie & Victor Manfredi","Sáàh, Kòfí K. & Ézè, Éjiké. 1997. Double objects in Àkán and Ìgbo. in: Déchaine, Rose-Marie & Victor Manfredi (eds.). Object positions in Benue-Kwa. The Hague: Holland Academic Graphics. pp. 139-151.",,,,139-151,Holland Academic Graphics,736,,,,1997,
Gender Agreement in Mosetén,"Sakel, Jeanette",,Current studies on South American languages,,Leiden,"Crevels, Mily & Simon van de Kerke & Sérgio Meira & Hein van der Voort","Sakel, Jeanette. 2002. Gender Agreement in Mosetén. in: Crevels, Mily & Simon van de Kerke & Sérgio Meira & Hein van der Voort (eds.). Current Studies on South American languages. Indigenous Languages of Lowland South America, 3. Leiden: CNWS.",,,,287-305,CNWS,737,,,,2002,
,"Samarin, William J.",,A Grammar of Sango,,The Hague,,"Samarin, William J. 1967. A Grammar of Sango. The Hague: Mouton.",,,,,Mouton,738,,,,1967,
,"Sammallahti, Pekka",,The Saami Languages: An Introduction,,Karasjohka,,"Sammallahti, Pekka. 1998b. The Saami Languages: An Introduction. Karasjohka: Davvi Girji.",,,,,Davvi Girji,739,,,,1998,b
Papago,"Saxton, Dean",,Uto-Aztecan Grammatical Sketches,,Dallas,"Langacker, Ronald","Saxton, Dean. 1982. Papago. in: Langacker, Ronald (ed.). Uto-Aztecan Grammatical Sketches. Studies in Uto-Aztecan Grammar, 3. Dallas: Summer Institute of Linguistics. pp. 93-266.",,,,93-266,Summer Institute of Linguistics,740,,,,1982,
,"Scancarelli, Janine",phdthesis,Grammatical Relations and Verb Agreement in Cherokee,,Los Angeles,,"Scancarelli, Janine. 1987. Grammatical Relations and Verb Agreement in Cherokee. Los Angeles: University of California. [Ph.D. Dissertation.]",,,,,University of California,741,,,,1987,
,"Schachter, Paul & Fé T. Otanes",,Tagalog Reference Grammar,,Berkeley,,"Schachter, Paul & Fé T. Otanes. 1972. Tagalog Reference Grammar. Berkeley: University of California Press.",,,,,University of California Press,742,,,,1972,
,"Schaub, Willi",,Babungo,,London,,"Schaub, Willi. 1985. Babungo. Croom Helm Descriptive Grammars. London: Croom Helm.",,,,,Croom Helm,743,,,,1985,
,"Schuh, Russell G.",,A Grammar of Miya,,Berkeley,,"Schuh, Russell G. 1998. A Grammar of Miya. University of California Publications in Linguistics, 130. Berkeley: University of California Press.",,,,,University of California Press,744,,,,1998,
,"Schultze-Berndt, Eva Friederike",phdthesis,Simple and complex verbs in Jaminjung: A study of event categorization in an Australian language,,Nijmegen,,"Schultze-Berndt, Eva. 2000. Simple and complex verbs in Jaminjung: A study of event categorization in an Australian language. Nijmegen: Katholieke Universiteit Nijmegen. [Ph.D. Dissertation.]",,,ch01schultze-berndt2000,,Katholieke Universiteit Nijmegen,745,,,,2000,
,"Seibert, Uwe",,"Das Ron von Daffo (Jos-Plateau, Zentralnigeria): morphologische, syntaktische und textlinguistische Strukturen einer westtschadischen Sprache",,Frankfurt,,"Seibert, Uwe. 1998. Das Ron von Daffo (Jos-Plateau, Zentralnigeria): morphologische, syntaktische und textlinguistische Strukturen einer westtschadischen Sprache. Frankfurt: Peter Lang.",,,,,Peter Lang,746,,,,1998,
,"Seiler, Walter",book,"Imonda, a Papuan Language",,Canberra,,"Seiler, Walter. 1985. Imonda, a Papuan Language. Pacific Linguistics, Series B-93. Canberra: Department of Linguistics Research School of Pacific Studies, Australian National University.",,,ch01seiler1985,,Australian National University,747,,,,1985,
,"Seiter, William J.",,Studies in Niuean Syntax,,New York,,"Seiter, William J. 1980. Studies in Niuean Syntax. New York: Garland.",,,,,Garland,748,,,,1980,
,"Seki, Lucy",,Gramatica do Kamaiurá: Língua Tupi-Guarani do Alto Xingu,,Campinas,,"Seki, Lucy. 2000. Gramatica do Kamaiurá: Língua Tupi-Guarani do Alto Xingu. Campinas: Editora da Unicamp.",,,,,Editora da Unicamp,749,,,,2000,
,"Selcan, Zülfü",,"Grammatik der Zaza-Sprache, Nord-Dialekt",,Berlin,,"Selcan, Zülfü. 1998. Grammatik der Zaza-Sprache: Nord-Dialekt. Berlin: Wissenschaft und Technik.",,,,,Wissenschaft und Technik,750,,,,1998,
,"Senft, Gunter",,"Kilivila, the Language of the Trobriand Islanders",,Berlin,,"Senft, Gunter. 1986. Kilivila, the Language of the Trobriand Islanders. Mouton Grammar Library, 3. Berlin: Mouton de Gruyter.",,,,,Mouton de Gruyter,751,,,,1986,
,"Serzisko, Fritz",,Sprechhandlungen und Pausen: Diskursorientierte Sprachbeschreibung am Beispiel des Ik,,Tübingen,,"Serzisko, Fritz. 1992. Sprechhandlungen und Pausen: Diskursorientierte Sprachbeschreibung am Beispiel des Ik. Tübingen: Niemeyer.",,,,,Niemeyer,752,,,,1992,
,"Sharma, Devidatta",,"Tribal Languages of Himachal Pradesh, I",,Delhi,,"Sharma, Devidatta. 1989b. Tribal Languages of Himachal Pradesh, I. Studies in Tibeto-Himalayan Languages, II. Delhi: Mittal. [Pattani, Tinani, Gahri, (s)Tod]",,,,,Mittal,753,,,,1989,b
,"Sharma, Devidatta",,"Tribal languages of Ladakh. Vol 1, Part 1: A concise grammar and dictionary of Brok-skad",,Delhi,,"Sharma, Devidatta. 1998. Tribal languages of Ladakh. Vol 1, Part 1: A concise grammar and dictionary of Brok-skad. Studies in Tibeto-Himalayan Languages, 6. Delhi: Mittal.",,,,,Mittal,754,,,,1998,
,"Xu, Shixuan",,The Bisu language,,Munich,,"Xu, Shixuan. 2001. The Bisu language. Munich: Lincom Europa.",,,,,Lincom Europa,755,,,,2001,
,"Singh, Chunghkham Yashawanta",,Tarao Grammar,,New Delhi,,"Singh, Chunghkham Yashawanta. 2002. Tarao Grammar. New Delhi: Akansha.",,,,,Akansha,756,,,,2002,
Buryat,"Skribnik, Elena",,The Mongolic Languages,,London,"Janhunen, Juha","Skribnik, Elena. 2003. Buryat. in: Janhunen, Juha (ed.). The Mongolic Languages. London: Routledge. pp. 102-128.",,,,102-128,Routledge,757,,,,2003,
,"Slater, Keith W.",,A Grammar of Mangghuer: a Mongolic language of China's Qinghai-Gansu Sprachbund,,London,,"Slater, Keith W. 2003. A Grammar of Mangghuer: a Mongolic language of China's Qinghai-Gansu Sprachbund. London: Routledge-Curzon.",,,,,Routledge-Curzon,758,,,,2003,
,"Smith, Kenneth",,Sedang Grammar: Phonological and Syntactic Structure,,Canberra,,"Smith, Kenneth. 1979. Sedang Grammar: Phonological and Syntactic Structure. Pacific Linguistics, Series C-50. Canberra: Australian National University.",,,,,Australian National University,759,,,,1979,
Kugu Nganhcara,"Smith, Ian & Steve Johnson",,"Handbook of Australian Languages, 5",,Oxford,"Dixon, R.M.W. & Barry J. Blake","Smith, Ian & Steve Johnson. 2000. Kugu Nganhcara. in: Dixon, R.M.W. & Barry J. Blake (eds.). Handbook of Australian Languages, 5. Oxford: Oxford University Press. pp. 357-489.",,,,357-489,Oxford University Press,760,,,,2000,
,"Solnit, David B.",,"Eastern Kayah Li: Grammar, Texts, Glossary",,Honolulu,,"Solnit, David B. 1997. Eastern Kayah Li: Grammar, Texts, Glossary. Honolulu: University of Hawaii Press.",,,,,University of Hawaii Press,761,,,,1997,
,"Stanley, Carol",,Description morpho-syntaxique de la langue tikar,,Epinay,,"Stanley, Carol. 1991. Description morpho-syntaxique de la langue tikar. Epinay: Société Internationale de Linguistique.",,,,,Société Internationale de Linguistique,762,,,,1991,
Causative constructions in Akawaio,"Stefanowitsch, Anatol",,The grammar of causation and interpersonal manipulation,,Amsterdam,"Shibatani, Masayoshi","Stefanowitsch, Anatol. 2002. Causative constructions in Akawaio. in: Shibatani, Masayoshi (ed.). The grammar of causation and interpersonal manipulation. Amsterdam: John Benjamins. pp. 341-371.",,,,341-371,John Benjamins,763,,,,2002,
,"Stevenson, R. C.",,Bagirmi Grammar,,Khartoum,,"Stevenson, R. C. 1969. Bagirmi Grammar. Linguistic Monograph Series, 3. Khartoum: Sudan Research Unit, University of Khartoum.",,,,,University of Khartoum,764,,,,1969,
,"Strom, Clay",,Retuarã Syntax,,Dallas,,"Strom, Clay. 1992. Retuarã Syntax. Studies in the Languages of Colombia, 3. Dallas, Texas: Summer Institute of Linguistics and the University of Texas at Arlington.",,,,,University of Texas,765,,,,1992,
,"Svantesson, Jan-Olof",,Kammu Phonology and Morphology,,Lund,,"Svantesson, Jan-Olof. 1983. Kammu Phonology and Morphology. Travaux de L'Institut de Linguistique de Lund, 18. Malmö: CWK Gleerup.",,,,,CWK Gleerup,766,,,,1983,
Khalkha,"Svantesson, Jan-Olof",,The Mongolic Languages,,London,"Janhunen, Juha","Svantesson, Jan-Olof. 2003. Khalkha. in: Janhunen, Juha (ed.). The Mongolic Languages. London: Routledge. pp. 154-176.",,,,154-176,Routledge,767,,,,2003,
,"Tarpent, Marie-Lucie",phdthesis,A Grammar of the Nisgha Language,,,,"Tarpent, Marie-Lucie. 1987. A Grammar of the Nisgha Language. University of Victoria. [Ph.D. Dissertation.]",,,,,University of Victoria,768,,,,1987,
Transitivity and Ergativity in Sinaugoro,"Tauberschmidt, Gerhard & Alfred Bala",,Papers from 6ICAL on languages from Papua New Guinea,,Ukarumpa,"Snyder, David M. & John M. Clifton","Tauberschmidt, Gerhard & Alfred Bala. 1992. Transitivity and Ergativity in Sinaugoro. in: Snyder, David M. & John M. Clifton (eds.). Papers from 6ICAL on languages from Papua New Guinea. Language and Linguistics in Melanesia, 23. Ukarumpa: Linguistic Society of Papua New Guinea and the Society on Pidgins and Creoles. pp. 179-191.",,,,179-191,Linguistic Society of Papua New Guinea and the Society on Pidgins and Creoles,769,,,,1992,
,"Taylor, Charles V.",,Nkore-Kiga,,Dover,,"Taylor, Charles. 1985. Nkore-Kiga. Croom Helm Descriptive Grammars. Dover, New Hampshire: Croom Helm.",,,,,Croom Helm,770,,,,1985,
,"Terrill, Angela",,Biri,,Munich,,"Terrill, Angela. 1998. Biri. Languages of the World/Materials 258. Munich: Lincom Europa.",,,,,Lincom Europa,771,,,,1998,
,"Terrill, Angela",,"Dharumbal: The Language of Rockhampton, Australia",,Canberra,,"Terrill, Angela. 2002. Dharumbal: The Language of Rockhampton, Australia. Pacific Linguistics, 525. Canberra: Australian National University.",,,,,Australian National University,772,,,,2002,
,"Tosco, Mauro",,A Grammatical Sketch of Dahalo,,Hamburg,,"Tosco, Mauro. 1991. A Grammatical Sketch of Dahalo. Hamburg: Helmut Buske.",,,,,Helmut Buske,773,,,,1991,
,"Tosco, Mauro",,The Dhaasanac Language,,Köln,,"Tosco, Mauro. 2001. The Dhaasanac Language. Köln: Rüdiger Köppe.",,,,,Rüdiger Köppe,774,,,,2001,
,"Trivedi, Govind Mohan",,Descriptive Grammar of the Byansi-Bhotiya Language,,Calcutta,,"Trivedi, Govind Mohan. 1991. Descriptive Grammar of the Byansi-Bhotiya Language. Calcutta: Anthropological Survey of Africa.",,,,,Anthropological Survey of Africa,775,,,,1991,
,"Tryon, Darrell T.",,An Introduction to Maranungku,,Canberra,,"Tryon, Darrell T. 1970. An Introduction to Maranungku. Pacific Linguistics, Series B-15. Canberra: Australian National University.",,,,,Australian National University,776,,,,1970,
Buma,"Tryon, Darrell T.",,The Oceanic Languages,,Richmond,"Lynch, John & Malcolm Ross & Terry Crowley","Tryon, Darrell T. 2002. Buma. in: Lynch, John & Malcolm Ross & Terry Crowley (eds.). The Oceanic Languages. Richmond: Curzon. pp. 573-586.",,,,573-586,Curzon,777,,,,2002,
,"Tröbs, Holger",book,Funktionale Sprachbeschreibung des Jeli (West-Mande),,Köln,,"Tröbs, Holger. 1998. Funktionale Sprachbeschreibung des Jeli (West-Mande). Mande languages and linguistics, 3. Köln: Rüdiger Köppe.",,,ch001troebs1998,,Rüdiger Köppe,778,,,,1998,
,"Tsunoda, Tasaku",,"The Djaru Language of Kimberley, Western Australia",,Canberra,,"Tsunoda, Tasaku. 1981. The Djaru Language of Kimberley, Western Australia. Pacific Linguistics, Series B-78. Canberra: Australian National University.",,,,,Australian National University,779,,,,1981,
Object movement in Eastern Lower-Cross,"Urua, Eno E.",,Object position in Benue-Kwa,,The Hague,"Déchaine, Rose-Marie & Victor Manfredi","Urua, Eno E. 1997. Object movement in Eastern Lower-Cross. in: Déchaine, Rose-Marie & Victor Manfredi (eds.). Object position in Benue-Kwa. The Hague: Holland Academic Graphics.",,,,,Holland Academic Graphics,780,,,,1997,
,"Valentine, J. Randolph",book,Nishnaabemwin reference grammar,,Toronto,,"Valentine, J. Randolph. 2001. Nishnaabemwin reference grammar. Toronto: University of Toronto Press.",,,ch21valentine2001,,University of Toronto Press,781,,,,2001,
,"Vaxrushev, Vasilij M.",,Grammatika sovremennogo udmurtskogo jazyka: sintaksis prostogo predlozhenija,,Izhevsk,,"Vaxrushev, Vasilij M. (ed.). 1970. Grammatika sovremennogo udmurtskogo jazyka: sintaksis prostogo predlozhenija. Izhevsk: Udmurtskoe knizhnoe izdatel'stvo.",,,,,Udmurtskoe knizhnoe izdatel'stvo,782,,,,1970,
,"Veerman-Leichsenring, Annette",,Gramática del Chocho,,Leiden,,"Veerman-Leichsenring, Annette. 2000. Gramática del Chocho. Leiden: Research School CNWS.",,,,,CNWS,783,,,,2000,
Bhojpuri,"Verma, Manindra K.",,The Indo-Aryan Languages,,London,"Cardona, George & Dhanesh Jain","Verma, Manindra K. 2003a. Bhojpuri. in: Cardona, George & Dhanesh Jain (eds.). The Indo-Aryan Languages. London: Routledge. pp. 515-537.",,,,515-537,Routledge,784,,,,2003,a
,"Vidal, Alejandra",phdthesis,"Pilagá Grammar, Guaykuruan family, Argentina",,,,"Vidal, Alejandra. 2001. Pilagá Grammar, Guaykuruan family, Argentina. University of Oregon.",,,,,University of Oregon,785,,,,2001,
,"Weber, David John",,A Grammar of Huallaga (Huánaco) Quechua,,Berkeley,,"Weber, David John. 1989. A Grammar of Huallaga (Huánaco) Quechua. University of California Publications in Linguistics, 112. Berkeley: University of California Press.",,,,,University of California Press,787,,,,1989,
,"Werner, Heinrich",book,Die ketische Sprache,,Wiesbaden,,"Werner, Heinrich. 1997. Die ketische Sprache. Tunguso-Sibirica, 3. Wiesbaden: Harrassowitz.",,,ch11werner1997,,Harrassowitz,788,,,,1997,
The indicative verb in Doowaayaayo,"Wiering, Elisabeth",,,,,,"Wiering, Elisabeth. 1974. The indicative verb in Doowaayaayo. Linguistics, 124: 33-56.",,Linguistics,,33-56,,789,,,124,1974,
