Article_title,Authors,BibTeX_type,Book_title,Chapter,City,Editors,Full_reference,Issue_number,Journal,LaTeX_cite_key,Pages,Publisher,Reference_ID,School,URL,Volume,Year,Year_disambiguation_letter
,"Croft, William",book,Typology and universals,,Cambridge,,"Croft, William. 1990 (2003). Typology and universals. Cambridge. Cambridge University Press.",,,,,Cambridge University Press,50,,,,1990,
,"Dixon, Robert M. W.",book,Ergativity,,Cambridge,,"Dixon, Robert M. W. 1994 (1998). Ergativity. Cambridge. Cambridge University Press.",,,,,Cambridge University Press,51,,,,1994,
,"Dixon, Robert M. W.",book,The rise and fall of languages,,Cambridge,,,,,,,Cambridge University Press,52,,,,1997,
Object clitic pronouns in Bantu and the topicality hierarchy,"Duranti, Alessandro",article,,,,,,1,Studies in African Linguistics,,31-45,,55,,,10,1979,
The noun phrase hierarchy and relational marking: problems and counterevidence,"Filimonova, Elena",article,,,,,,1,Linguistic Typology,,77-113,,56,,,9,2005,
Object ordering in verbs marking two pronominal objects: Non-explanation and explanation,"Gensler, Orin D.",article,,,,,,2,Linguistic Typology,,187-231,,59,,,7,2003,
"Topic, pronoun and grammatical agreement","Givón, Talmy",incollection,Subject and Topic,,New York,"Li, Charles N.",,,,,149-189,Academic Press,60,,,,1976,
,"Givón, Talmy",book,On Understanding Grammar,,New York/San Francisco/London,,,,,ch01givon1979,,Academic Press,61,,,,1979,
Direct object and dative shifting: semantic and pragmatic case,"Givón, Talmy",incollection,Objects: Towards a Theory of Grammatical Relations,,London/New York,"Plank, Frans",,,,,151-182,Academic Press,62,,,,1984,
Case systems and case marking in Australian languages: a new interpretation,"Goddard, Cliff",article,,,,,,2,Australian Journal of Linguistics,,167-196,,63,,,2,1982,
Explaining the Ditransitive Person-Role Constraint: a usage-based account,"Haspelmath, Martin",article,,,,,"Haspelmath, Martin. 2004d. Explaining the Ditransitive Person-Role Constraint: a usage-based account. Constructions 2/2004. 1-49?.",,Constructions,ch001haspelmath2004,1-49,,66,,,2,2004,d
Does linguistic explanation presuppose linguistic description?,"Haspelmath, Martin",article,,,,,,3,Studies in Language,,554-579,,67,,,28,2004,e
Argument marking in ditransitive alignment types,"Haspelmath, Martin",article,,,,,"Haspelmath, Martin. 2005a. Argument marking in ditransitive alignment types. Linguistic Discovery 3(1). 1-21.",1,Linguistic Discovery,ch001haspelmath2005a,1-21,,68,,,3,2005,a
Ditransitive Constructions: The Verb ‘Give’,"Haspelmath, Martin",incollection,The World Atlas of Language Structures,,Oxford,"Haspelmath, Martin & Matthew S. Dryer & David Gil & Bernard Comrie",,,,ch001haspelmath2005,426-429,Oxford University Press,69,,,,2005,b
Against markedness (and what to replace it with),"Haspelmath, Martin",article,,,,,,1,Journal of Linguistics,,25-70,,70,,,42,2006,
,"Hawkins, John A.",book,Efficiency and Complexity in Grammars,,Oxford,,,,,,,Oxford University Press,71,,,,2004,
Learning constraint sub-hierarchies: The Bidirectional Gradual Learning Algorithm,"Jäger, Gerhard",incollection,Pragmatics in OT,,,"Blutner, Reinhard & Henk Zeevat",,,,,251-287,Palgrave MacMillan,72,,,,2004,
The agent hierarchy and voice in some Coast Salish languages,"Jelinek, Eloise & Richard A. Demers",article,,,,,,2,International Journal of American Linguistics,,167-185,,73,,,49,1983,
,"Jungraithmayr, Herrmann",,A dictionary of the Tangale language,,Berlin,,"Jungraithmayr, Herrmann. 1991. A dictionary of the Tangale language. Berlin: Reimer.",,,,,Dietrich Reimer,74,,,,1991,
,"Kittilä, Seppo",,Differential Goal Marking: On the encoding of animate and inanimate goals,,,,"Kittilä, Seppo. 2012+? Differential Goal Marking: On the encoding of animate and inanimate goals. Ms., University of Turku.",,,,,,75,University of Turku,,,2012,
,"Klaiman, M. H.",book,Grammatical voice,,Cambridge,,,,,,,Cambridge University Press,76,,,,1991,
Spelling out clitics in Kambera,"Klamer, Marian",article,,,,,,,Linguistics,,895-927,,77,,,35,1997,
,"Miller, Amy",,A Grammar of Jamul Tiipay,,Berlin,,"Miller, Amy. 2001. A Grammar of Jamul Tiipay. Mouton Grammar Library, 23. Berlin: Mouton de Gruyter.",,,,,Mouton de Gruyter,78,,,,2001,
,"Mithun, Marianne",book,The languages of Native North America,,Cambridge,,,,,ch18mithun1999,,Cambridge University Press,79,,,,1999,
